INCOME,AGE,GENDER,HOURS_working,JOB_TYPE,EXPERIECE_in_YEARS
 <=50K,29,2,40, Sales,8
 <=50K,40,2,53, Sales,8
 >50K,44,2,50, Sales,12
 <=50K,19,1,20, Sales,8
 <=50K,53,1,25, Sales,3
 <=50K,22,2,20, Sales,8
 >50K,56,1,45, Sales,13
 >50K,42,2,50, Sales,23
 <=50K,19,2,30, Tech-support,8
 <=50K,19,2,20, Sales,6
 <=50K,64,2,35, Tech-support,6
 <=50K,25,2,40, Tech-support,8
 <=50K,37,2,40, Tech-support,3
 <=50K,46,2,40, Sales,5
 <=50K,27,2,40, Sales,3
 <=50K,24,2,30, Sales,6
 >50K,42,2,40, Sales,7
 >50K,49,2,60, Sales,14
 <=50K,53,2,40, Tech-support,4
 <=50K,36,2,40, Sales,6
 >50K,34,3,40, Tech-support,8
 >50K,45,3,50, Tech-support,20
 <=50K,53,1,30, Sales,5
 <=50K,23,3,40, Sales,5
 >50K,40,3,40, Sales,16
 <=50K,27,2,45, Sales,5
 <=50K,19,2,25, Sales,6
 <=50K,28,2,24, Tech-support,7
 >50K,59,1,50, Tech-support,9
 >50K,30,3,60, Sales,23
 <=50K,23,3,60, Tech-support,7
 <=50K,21,1,35, Sales,4
 <=50K,72,1,30, Sales,6
 <=50K,19,3,15, Sales,7
 >50K,63,1,40, Sales,13
 >50K,50,1,40, Sales,11
 >50K,45,1,60, Sales,18
 >50K,45,3,40, Sales,19
 <=50K,23,1,36, Sales,6
 <=50K,21,2,25, Sales,8
 <=50K,23,1,40, Sales,7
 >50K,36,3,60, Sales,22
 <=50K,30,2,65, Sales,8
 <=50K,22,3,35, Sales,6
 <=50K,24,1,40, Sales,4
 >50K,48,3,50, Sales,20
 <=50K,41,1,40, Tech-support,6
 <=50K,25,2,43, Sales,6
 >50K,29,2,35, Tech-support,13
 <=50K,29,2,25, Sales,4
 >50K,56,2,40, Sales,23
 <=50K,20,2,25, Sales,6
 >50K,51,2,50, Sales,24
 <=50K,21,2,20, Sales,6
 <=50K,54,2,32, Sales,4
 <=50K,40,2,40, Sales,7
 >50K,45,2,99, Sales,10
 <=50K,48,2,45, Sales,7
 >50K,56,2,50, Sales,14
 <=50K,24,2,40, Tech-support,8
 >50K,43,2,40, Sales,18
 >50K,32,2,50, Sales,18
 <=50K,25,2,15, Tech-support,4
 >50K,34,3,50, Sales,25
 <=50K,34,2,40, Sales,5
 >50K,60,2,40, Sales,25
 >50K,51,1,40, Sales,14
 <=50K,20,2,20, Tech-support,7
 <=50K,46,3,40, Tech-support,6
 <=50K,25,2,40, Tech-support,4
 <=50K,25,2,40, Sales,7
 >50K,50,3,40, Sales,14
 <=50K,42,1,40, Sales,5
 >50K,61,2,45, Sales,23
 >50K,46,3,40, Sales,20
 <=50K,26,3,55, Sales,8
 <=50K,19,1,18, Sales,7
 <=50K,29,3,40, Sales,8
 >50K,46,2,35, Sales,14
 <=50K,21,2,60, Sales,5
 <=50K,24,2,40, Sales,6
 >50K,42,1,40, Sales,17
 >50K,51,3,45, Sales,20
 >50K,36,3,40, Sales,22
 <=50K,35,1,55, Sales,5
 <=50K,28,2,40, Sales,4
 <=50K,20,2,35, Sales,3
 >50K,47,1,65, Sales,8
 <=50K,41,3,40, Sales,3
 <=50K,21,1,20, Sales,4
 >50K,46,3,50, Sales,12
 >50K,50,2,40, Tech-support,10
 <=50K,32,1,50, Tech-support,3
 >50K,50,2,40, Sales,9
 <=50K,59,1,40, Sales,5
 >50K,42,1,45, Tech-support,18
 >50K,32,2,50, Sales,13
 <=50K,44,3,48, Sales,4
 >50K,43,1,40, Sales,25
 <=50K,72,3,16, Tech-support,3
 <=50K,25,2,50, Sales,8
 <=50K,24,1,17, Sales,4
 >50K,73,1,50, Sales,25
 >50K,54,2,40, Sales,17
 <=50K,60,3,40, Tech-support,4
 >50K,35,2,45, Sales,23
 >50K,42,2,50, Sales,20
 <=50K,30,2,45, Sales,7
 <=50K,21,3,20, Sales,7
 <=50K,24,2,55, Tech-support,4
 <=50K,31,3,42, Tech-support,6
 >50K,68,1,55, Sales,13
 <=50K,30,1,40, Sales,7
 >50K,50,2,45, Sales,22
 >50K,39,2,60, Sales,23
 >50K,46,3,55, Sales,7
 <=50K,43,1,55, Sales,6
 >50K,81,1,50, Sales,7
 <=50K,26,2,35, Tech-support,8
 <=50K,20,3,15, Tech-support,4
 <=50K,33,2,40, Sales,5
 >50K,52,1,45, Sales,12
 >50K,54,3,55, Sales,18
 <=50K,20,2,20, Sales,7
 >50K,42,2,40, Tech-support,8
 <=50K,27,2,50, Sales,8
 <=50K,19,2,20, Sales,3
 <=50K,31,1,40, Sales,7
 <=50K,23,2,40, Sales,4
 <=50K,34,1,40, Sales,6
 <=50K,54,2,40, Sales,4
 <=50K,37,1,40, Tech-support,3
 <=50K,29,2,40, Tech-support,8
 <=50K,22,1,40, Tech-support,8
 >50K,46,3,60, Sales,19
 >50K,44,1,40, Sales,12
 <=50K,28,1,40, Sales,3
 <=50K,63,2,30, Sales,3
 >50K,39,3,45, Sales,17
 >50K,62,2,40, Sales,10
 <=50K,18,1,35, Sales,5
 >50K,41,2,50, Sales,7
 <=50K,25,1,16, Sales,5
 <=50K,35,2,46, Sales,6
 <=50K,26,1,48, Sales,8
 <=50K,34,1,60, Sales,7
 <=50K,43,2,45, Sales,7
 <=50K,20,3,20, Sales,3
 <=50K,33,1,40, Sales,6
 <=50K,30,1,40, Sales,8
 >50K,43,2,60, Sales,9
 <=50K,63,1,40, Tech-support,5
 <=50K,43,3,40, Sales,5
 <=50K,33,2,50, Tech-support,4
 >50K,41,1,40, Sales,12
 <=50K,38,3,50, Sales,8
 <=50K,36,2,55, Sales,3
 >50K,39,2,48, Sales,8
 <=50K,21,2,16, Sales,3
 >50K,48,1,40, Sales,12
 <=50K,24,3,40, Sales,5
 <=50K,20,3,30, Sales,8
 <=50K,27,1,45, Sales,3
 <=50K,19,2,20, Sales,4
 <=50K,21,2,40, Sales,8
 <=50K,29,2,65, Sales,4
 <=50K,23,2,30, Sales,3
 <=50K,39,2,70, Sales,7
 <=50K,24,2,55, Sales,3
 >50K,46,2,40, Sales,23
 >50K,46,2,60, Sales,8
 <=50K,27,2,50, Sales,7
 <=50K,18,2,25, Sales,7
 <=50K,24,2,35, Sales,7
 <=50K,21,2,30, Sales,7
 <=50K,18,2,35, Sales,7
 >50K,31,2,40, Tech-support,7
 >50K,54,2,40, Sales,12
 >50K,41,2,48, Sales,18
 >50K,48,2,40, Tech-support,24
 <=50K,18,2,15, Sales,3
 <=50K,28,3,30, Sales,3
 <=50K,54,3,40, Sales,7
 <=50K,25,3,30, Sales,7
 >50K,51,2,50, Sales,14
 >50K,30,3,40, Sales,8
 >50K,44,2,50, Sales,17
 >50K,50,3,60, Sales,25
 >50K,41,3,80, Sales,11
 <=50K,53,1,40, Sales,3
 >50K,40,2,40, Tech-support,25
 >50K,43,2,60, Sales,12
 <=50K,47,3,50, Sales,4
 >50K,28,2,80, Sales,22
 >50K,24,2,50, Tech-support,7
 >50K,40,2,50, Sales,11
 <=50K,22,1,32, Tech-support,3
 <=50K,31,3,50, Sales,3
 <=50K,22,2,35, Sales,5
 >50K,54,1,40, Sales,12
 >50K,62,2,20, Sales,8
 <=50K,31,1,40, Sales,5
 >50K,38,3,40, Sales,21
 <=50K,27,3,40, Tech-support,7
 <=50K,55,3,40, Sales,5
 >50K,53,2,40, Sales,11
 <=50K,37,3,40, Tech-support,5
 <=50K,20,2,16, Sales,7
 >50K,37,1,60, Sales,20
 <=50K,45,3,45, Sales,8
 >50K,38,2,52, Sales,11
 <=50K,19,2,35, Sales,8
 >50K,61,3,40, Tech-support,8
 >50K,44,1,40, Tech-support,22
 >50K,56,2,45, Tech-support,13
 <=50K,42,2,40, Sales,6
 >50K,38,1,45, Sales,11
 <=50K,24,3,30, Sales,4
 <=50K,27,3,40, Tech-support,3
 >50K,38,1,60, Sales,8
 >50K,51,2,40, Sales,10
 <=50K,29,1,80, Sales,4
 <=50K,48,3,45, Sales,5
 <=50K,21,1,40, Sales,3
 <=50K,27,3,55, Sales,3
 <=50K,24,3,10, Sales,4
 >50K,44,3,40, Tech-support,20
 <=50K,35,1,40, Tech-support,5
 <=50K,19,2,15, Sales,7
 >50K,47,1,60, Sales,19
 <=50K,26,3,25, Tech-support,4
 >50K,79,1,20, Sales,21
 >50K,66,2,5, Sales,14
 <=50K,28,2,50, Sales,6
 <=50K,29,1,40, Tech-support,6
 >50K,32,1,50, Sales,19
 >50K,43,2,38, Sales,17
 <=50K,27,2,55, Sales,6
 >50K,34,3,40, Tech-support,20
 <=50K,19,1,40, Sales,4
 <=50K,57,1,16, Tech-support,4
 >50K,27,3,40, Tech-support,19
 >50K,55,1,40, Tech-support,13
 >50K,41,3,45, Sales,18
 <=50K,23,2,20, Sales,7
 <=50K,31,1,40, Sales,3
 <=50K,23,2,40, Sales,6
 <=50K,23,2,40, Sales,8
 <=50K,23,2,20, Tech-support,4
 <=50K,35,3,40, Sales,5
 <=50K,41,2,55, Sales,8
 >50K,57,1,40, Sales,7
 >50K,27,1,45, Sales,9
 >50K,37,1,50, Sales,7
 <=50K,38,3,50, Sales,4
 >50K,27,2,42, Sales,16
 >50K,54,2,40, Sales,20
 <=50K,37,1,40, Tech-support,7
 <=50K,51,1,40, Sales,5
 <=50K,25,2,35, Tech-support,7
 >50K,29,1,35, Sales,13
 <=50K,27,2,40, Tech-support,6
 <=50K,62,3,33, Sales,4
 >50K,35,1,40, Sales,10
 <=50K,40,3,40, Sales,8
 <=50K,28,3,40, Tech-support,3
 >50K,48,2,40, Tech-support,13
 <=50K,27,2,40, Tech-support,7
 <=50K,42,3,60, Sales,8
 <=50K,32,3,30, Sales,7
 >50K,49,1,40, Sales,9
 <=50K,18,3,20, Sales,5
 <=50K,28,2,50, Sales,7
 >50K,43,2,55, Sales,15
 <=50K,52,1,40, Sales,5
 <=50K,57,3,50, Sales,4
 >50K,38,3,40, Tech-support,24
 <=50K,49,2,45, Sales,7
 <=50K,22,1,40, Sales,4
 >50K,34,2,50, Sales,24
 >50K,46,3,60, Tech-support,8
 <=50K,26,1,40, Sales,4
 >50K,54,2,50, Sales,14
 <=50K,21,1,20, Sales,6
 >50K,42,3,50, Sales,16
 >50K,51,3,40, Tech-support,13
 <=50K,23,2,40, Tech-support,3
 <=50K,31,3,50, Sales,4
 <=50K,28,2,40, Tech-support,3
 <=50K,25,1,40, Sales,6
 >50K,38,2,50, Sales,17
 <=50K,25,1,40, Tech-support,7
 <=50K,32,1,40, Sales,8
 <=50K,22,2,40, Tech-support,4
 <=50K,19,1,35, Sales,6
 <=50K,35,1,50, Sales,7
 >50K,42,3,60, Sales,20
 <=50K,21,1,35, Sales,6
 <=50K,21,3,20, Sales,3
 <=50K,24,3,40, Sales,4
 <=50K,67,2,25, Sales,5
 <=50K,19,1,40, Tech-support,3
 <=50K,21,3,40, Sales,7
 <=50K,36,2,50, Sales,8
 <=50K,32,2,40, Sales,4
 <=50K,29,1,55, Sales,4
 <=50K,35,2,40, Sales,8
 >50K,49,1,45, Sales,23
 >50K,43,2,24, Tech-support,9
 <=50K,36,1,60, Sales,5
 >50K,44,1,40, Tech-support,17
 >50K,46,1,50, Sales,15
 <=50K,19,3,25, Tech-support,4
 <=50K,23,3,40, Sales,7
 >50K,32,3,50, Sales,20
 <=50K,23,2,40, Sales,5
 <=50K,26,1,37, Sales,8
 <=50K,28,2,40, Sales,4
 <=50K,28,3,24, Tech-support,3
 <=50K,47,3,48, Tech-support,3
 <=50K,40,1,40, Sales,3
 <=50K,24,2,40, Sales,6
 >50K,38,1,60, Sales,7
 <=50K,27,2,50, Sales,8
 >50K,46,3,50, Sales,8
 <=50K,30,2,20, Sales,4
 <=50K,47,1,60, Sales,8
 >50K,42,3,60, Sales,19
 >50K,53,3,45, Sales,21
 <=50K,43,2,50, Sales,3
 >50K,43,1,40, Sales,19
 <=50K,38,3,45, Tech-support,6
 <=50K,59,3,40, Sales,3
 <=50K,61,3,16, Tech-support,7
 >50K,35,2,50, Sales,23
 <=50K,26,2,18, Sales,4
 <=50K,62,1,38, Tech-support,8
 >50K,36,3,55, Tech-support,14
 <=50K,19,2,25, Sales,3
 >50K,28,3,45, Sales,8
 <=50K,46,2,55, Sales,6
 <=50K,23,3,47, Sales,7
 >50K,34,3,55, Sales,21
 <=50K,33,2,20, Sales,7
 <=50K,26,1,40, Sales,7
 <=50K,46,3,40, Sales,7
 >50K,44,3,60, Sales,12
 <=50K,35,2,40, Sales,8
 <=50K,23,3,40, Sales,8
 <=50K,32,2,40, Tech-support,8
 <=50K,23,2,30, Sales,5
 <=50K,25,3,50, Sales,6
 <=50K,68,1,20, Sales,6
 <=50K,19,1,30, Sales,3
 >50K,29,2,45, Sales,10
 <=50K,24,2,20, Sales,7
 >50K,28,3,50, Sales,9
 <=50K,19,3,15, Sales,7
 >50K,30,1,40, Sales,13
 <=50K,28,1,45, Sales,6
 >50K,35,3,40, Sales,12
 <=50K,24,3,20, Sales,6
 >50K,30,1,40, Sales,16
 <=50K,23,1,25, Sales,5
 >50K,47,3,40, Tech-support,14
 <=50K,36,3,40, Tech-support,3
 <=50K,21,1,47, Sales,3
 >50K,51,3,50, Sales,17
 <=50K,35,1,40, Sales,8
 <=50K,34,3,35, Sales,4
 <=50K,31,2,40, Sales,7
 >50K,49,2,45, Sales,19
 >50K,50,3,20, Tech-support,16
 >50K,56,2,48, Tech-support,15
 <=50K,21,2,64, Sales,4
 <=50K,27,1,30, Sales,4
 <=50K,32,2,40, Tech-support,6
 <=50K,31,2,40, Sales,3
 <=50K,44,1,25, Sales,5
 <=50K,24,1,35, Sales,4
 >50K,34,1,50, Sales,21
 >50K,55,1,40, Sales,20
 >50K,48,1,45, Tech-support,10
 <=50K,58,2,12, Sales,3
 <=50K,23,3,40, Tech-support,6
 >50K,32,3,40, Sales,14
 >50K,54,2,40, Tech-support,24
 >50K,27,2,50, Sales,14
 <=50K,38,1,60, Sales,7
 <=50K,44,3,60, Sales,4
 <=50K,35,2,40, Sales,3
 <=50K,32,1,50, Tech-support,3
 >50K,44,2,40, Sales,10
 >50K,46,3,40, Tech-support,22
 <=50K,24,1,40, Sales,4
 >50K,36,3,50, Sales,20
 <=50K,28,3,40, Tech-support,5
 <=50K,26,1,40, Sales,5
 <=50K,21,2,40, Sales,3
 >50K,52,1,90, Sales,23
 <=50K,64,3,40, Sales,8
 <=50K,57,2,40, Sales,4
 <=50K,31,2,40, Tech-support,3
 <=50K,31,2,50, Sales,3
 <=50K,35,2,40, Sales,4
 >50K,25,1,40, Sales,11
 >50K,31,1,55, Sales,8
 <=50K,38,3,40, Tech-support,8
 <=50K,21,3,40, Sales,8
 >50K,26,2,80, Sales,13
 <=50K,27,1,40, Sales,6
 <=50K,22,2,40, Sales,5
 >50K,47,1,60, Sales,22
 <=50K,37,2,40, Tech-support,4
 <=50K,19,3,25, Sales,4
 <=50K,22,1,22, Sales,5
 <=50K,34,3,40, Sales,4
 >50K,66,3,50, Sales,25
 <=50K,26,2,24, Sales,6
 <=50K,33,3,40, Sales,8
 >50K,36,1,50, Sales,16
 <=50K,51,2,40, Sales,3
 >50K,42,3,50, Sales,15
 >50K,45,1,60, Sales,10
 >50K,63,2,60, Sales,9
 <=50K,32,1,40, Sales,8
 >50K,41,1,50, Sales,24
 <=50K,21,2,25, Sales,8
 <=50K,55,2,40, Tech-support,7
 >50K,42,3,40, Tech-support,14
 <=50K,43,1,40, Tech-support,6
 <=50K,23,3,25, Sales,4
 >50K,30,3,55, Sales,25
 <=50K,25,1,50, Tech-support,6
 <=50K,31,3,40, Tech-support,4
 >50K,35,2,40, Sales,14
 >50K,41,2,50, Sales,7
 <=50K,20,2,30, Sales,6
 <=50K,29,3,50, Sales,6
 >50K,31,1,45, Sales,15
 <=50K,34,2,40, Sales,5
 <=50K,27,2,40, Sales,6
 >50K,37,3,60, Sales,11
 <=50K,42,3,33, Tech-support,7
 <=50K,20,3,35, Sales,3
 >50K,43,1,50, Sales,12
 >50K,46,2,40, Tech-support,10
 <=50K,46,3,50, Sales,6
 <=50K,32,3,50, Sales,3
 <=50K,22,3,40, Tech-support,8
 <=50K,33,2,70, Tech-support,5
 <=50K,24,3,20, Sales,8
 <=50K,31,2,60, Sales,6
 <=50K,19,1,25, Sales,7
 <=50K,20,2,15, Sales,5
 >50K,34,2,50, Sales,24
 >50K,32,2,32, Tech-support,25
 <=50K,27,1,40, Sales,6
 <=50K,22,2,40, Tech-support,6
 >50K,44,2,60, Sales,11
 >50K,48,2,70, Sales,13
 <=50K,26,2,40, Sales,5
 <=50K,19,1,40, Sales,4
 <=50K,22,2,20, Sales,5
 <=50K,28,3,60, Sales,5
 <=50K,41,2,91, Sales,8
 >50K,42,2,45, Tech-support,14
 >50K,54,2,18, Tech-support,20
 <=50K,23,2,40, Tech-support,7
 <=50K,23,2,40, Sales,7
 >50K,27,1,46, Sales,13
 <=50K,23,3,55, Sales,3
 <=50K,21,3,20, Tech-support,8
 <=50K,18,1,32, Sales,7
 >50K,50,3,40, Sales,15
 <=50K,32,1,30, Sales,5
 <=50K,21,2,40, Sales,8
 >50K,27,3,45, Sales,24
 <=50K,52,3,65, Sales,8
 <=50K,23,2,32, Sales,4
 >50K,51,3,50, Sales,14
 <=50K,61,3,40, Sales,5
 <=50K,38,3,40, Sales,6
 <=50K,34,3,40, Sales,5
 >50K,30,2,45, Sales,12
 <=50K,44,1,55, Sales,5
 <=50K,74,1,10, Sales,7
 <=50K,25,1,80, Sales,7
 <=50K,23,2,15, Sales,7
 <=50K,35,2,50, Sales,5
 <=50K,25,3,24, Tech-support,4
 >50K,50,2,45, Tech-support,17
 <=50K,38,2,60, Sales,3
 <=50K,34,3,35, Sales,7
 <=50K,21,3,40, Sales,3
 <=50K,28,3,24, Tech-support,5
 <=50K,21,2,40, Sales,4
 <=50K,29,2,40, Sales,5
 <=50K,39,2,40, Sales,6
 >50K,37,3,60, Sales,21
 >50K,30,2,50, Sales,7
 <=50K,37,3,40, Tech-support,3
 >50K,58,1,45, Sales,17
 >50K,27,3,40, Sales,7
 <=50K,47,3,40, Tech-support,4
 >50K,30,1,40, Sales,9
 <=50K,25,3,40, Sales,8
 >50K,42,3,40, Sales,12
 >50K,36,2,45, Sales,19
 >50K,54,3,40, Tech-support,10
 >50K,39,3,50, Sales,8
 >50K,35,3,45, Sales,11
 >50K,43,3,45, Sales,21
 <=50K,45,2,45, Sales,5
 >50K,50,2,40, Tech-support,19
 <=50K,19,2,30, Sales,3
 >50K,40,3,50, Tech-support,22
 <=50K,30,2,44, Sales,5
 <=50K,33,3,40, Tech-support,4
 <=50K,38,2,40, Sales,3
 <=50K,30,3,45, Tech-support,4
 <=50K,22,3,20, Sales,4
 <=50K,29,2,40, Sales,8
 >50K,36,3,50, Sales,8
 >50K,36,1,35, Sales,16
 >50K,45,2,18, Tech-support,19
 >50K,57,3,48, Tech-support,8
 <=50K,18,2,15, Sales,8
 <=50K,34,2,50, Sales,8
 <=50K,35,2,35, Sales,3
 <=50K,35,1,45, Tech-support,4
 <=50K,64,1,40, Sales,6
 <=50K,38,3,40, Tech-support,7
 >50K,52,2,20, Sales,13
 >50K,34,2,45, Sales,11
 <=50K,22,1,45, Sales,7
 >50K,54,2,50, Sales,21
 <=50K,20,1,15, Tech-support,6
 <=50K,52,1,50, Sales,4
 <=50K,21,3,22, Sales,5
 >50K,46,1,60, Sales,19
 <=50K,21,3,20, Sales,8
 >50K,50,3,40, Sales,12
 <=50K,23,2,40, Sales,3
 <=50K,54,1,40, Sales,3
 <=50K,44,2,38, Tech-support,4
 <=50K,28,1,30, Tech-support,6
 <=50K,38,1,44, Sales,5
 >50K,35,1,50, Sales,25
 <=50K,34,3,35, Sales,6
 <=50K,40,2,40, Tech-support,8
 <=50K,29,1,20, Sales,7
 >50K,42,3,40, Sales,8
 <=50K,45,1,50, Sales,6
 <=50K,24,1,45, Sales,7
 <=50K,39,2,40, Sales,8
 >50K,39,1,40, Sales,13
 >50K,47,2,45, Sales,22
 <=50K,31,3,65, Sales,5
 <=50K,18,2,40, Sales,5
 <=50K,50,1,40, Sales,3
 <=50K,38,1,25, Sales,8
 <=50K,49,3,25, Sales,8
 <=50K,24,2,30, Sales,8
 <=50K,22,3,40, Sales,8
 <=50K,36,1,40, Sales,6
 >50K,54,3,40, Sales,11
 <=50K,46,2,48, Sales,7
 <=50K,35,3,40, Sales,4
 >50K,67,1,30, Sales,24
 >50K,43,1,72, Sales,16
 <=50K,32,3,40, Tech-support,3
 <=50K,26,2,37, Sales,7
 <=50K,25,2,40, Sales,7
 >50K,43,1,40, Sales,16
 >50K,29,2,50, Sales,13
 <=50K,19,2,35, Sales,3
 >50K,29,3,45, Sales,25
 <=50K,41,1,36, Tech-support,5
 >50K,47,1,40, Sales,8
 <=50K,50,2,55, Sales,5
 <=50K,18,2,20, Tech-support,5
 >50K,32,1,40, Sales,21
 <=50K,27,2,40, Sales,4
 <=50K,35,3,40, Sales,3
 <=50K,50,2,39, Sales,5
 <=50K,35,2,50, Sales,5
 >50K,27,3,55, Sales,25
 <=50K,22,2,25, Sales,3
 >50K,75,1,40, Sales,19
 <=50K,21,3,35, Tech-support,5
 <=50K,28,3,50, Sales,4
 <=50K,21,2,20, Sales,7
 >50K,48,2,40, Sales,25
 >50K,44,1,50, Sales,21
 <=50K,27,3,25, Sales,6
 <=50K,27,3,37, Tech-support,8
 >50K,74,1,20, Sales,23
 <=50K,45,2,50, Sales,8
 <=50K,23,1,40, Tech-support,7
 <=50K,24,2,40, Tech-support,4
 >50K,59,2,40, Sales,16
 <=50K,30,1,40, Sales,5
 <=50K,24,1,40, Sales,5
 <=50K,39,1,40, Tech-support,3
 <=50K,27,1,40, Tech-support,8
 <=50K,58,1,27, Sales,8
 >50K,58,2,40, Sales,11
 >50K,28,1,42, Sales,11
 >50K,40,2,30, Tech-support,20
 <=50K,20,3,25, Sales,3
 >50K,49,1,50, Sales,24
 <=50K,22,3,40, Sales,3
 >50K,42,3,50, Tech-support,11
 <=50K,23,2,40, Sales,7
 <=50K,21,3,9, Tech-support,6
 <=50K,21,3,20, Sales,7
 <=50K,59,3,40, Tech-support,4
 <=50K,27,1,22, Sales,6
 >50K,25,3,60, Tech-support,11
 <=50K,58,2,48, Sales,5
 <=50K,19,3,20, Sales,8
 >50K,43,1,35, Sales,23
 <=50K,34,2,75, Sales,5
 >50K,50,1,40, Sales,17
 <=50K,22,1,17, Sales,4
 >50K,37,3,40, Sales,25
 <=50K,45,3,40, Tech-support,8
 <=50K,62,2,40, Sales,3
 <=50K,41,3,40, Tech-support,8
 <=50K,27,2,45, Tech-support,6
 <=50K,53,1,60, Sales,3
 <=50K,41,1,48, Sales,6
 <=50K,21,3,40, Sales,5
 <=50K,39,3,40, Tech-support,8
 <=50K,59,2,50, Sales,7
 >50K,38,2,55, Sales,10
 <=50K,33,2,40, Sales,3
 >50K,50,1,40, Sales,7
 <=50K,34,3,40, Sales,4
 <=50K,50,1,40, Sales,3
 <=50K,68,2,40, Sales,3
 <=50K,23,1,20, Sales,3
 <=50K,50,1,35, Sales,5
 <=50K,22,1,15, Sales,7
 >50K,42,1,50, Sales,15
 <=50K,23,3,48, Sales,4
 <=50K,21,3,28, Sales,4
 <=50K,20,2,30, Sales,4
 <=50K,23,1,50, Sales,6
 <=50K,29,3,40, Sales,6
 <=50K,37,3,45, Sales,8
 >50K,59,3,40, Tech-support,20
 <=50K,22,1,40, Tech-support,8
 >50K,38,2,40, Sales,20
 >50K,35,2,45, Sales,22
 <=50K,35,2,40, Sales,5
 >50K,34,3,60, Sales,22
 <=50K,43,2,40, Tech-support,3
 <=50K,19,1,30, Sales,7
 <=50K,31,2,40, Sales,8
 <=50K,55,2,40, Tech-support,4
 <=50K,21,3,35, Tech-support,8
 <=50K,50,1,40, Tech-support,4
 >50K,34,2,45, Sales,19
 <=50K,60,2,40, Sales,7
 >50K,42,2,40, Sales,14
 <=50K,33,3,45, Sales,4
 <=50K,30,2,40, Sales,8
 <=50K,31,2,40, Sales,8
 <=50K,20,1,56, Sales,4
 >50K,44,1,50, Sales,17
 <=50K,32,3,32, Sales,5
 >50K,46,1,45, Sales,24
 >50K,33,1,50, Tech-support,16
 <=50K,51,2,60, Sales,8
 >50K,50,1,50, Sales,20
 <=50K,32,3,11, Tech-support,6
